No.,Username,Text,Created at,Likes,Conversation ID,Reply count,Replies text,URL
30,calle pero elegante 🕸✌🏽💜,"Querido @metrodemedellin desde la estación 🌟 como puedo llegar al aeroparque Juan Pablo II ?
Gracias 🕯️🙏🏾",Tue Dec 17 16:16:37 +0000 2024,0,1869054099263758474,1,"@metrodemedellin Gracias!! 🌟🎄❤️; @ama_d_casa Hola, calle pero elegante. La ruta alimentadora C3-002, que se toma en la estación Aguacatala, va por la avenida 80, se desvía en la 70, y pasa frente al Aeroparque Juan Pablo II. ¡Saludos!",[]
31,César Sánchez C. 🎙️,"Nos llegó regalito del @metrodemedellin 🎁 , de esos que te acompañan todo el año y te llenan de felicidad. https://t.co/YWVl2NE7qo",Tue Jan 28 19:26:53 +0000 2025,4,1884322270715502821,0,,['https://x.com/ElCesarPaisa/status/1884322270715502821/photo/1']
32,Manuel Martinez ,Buen día @metrodemedellin ¿Cada cuanto tiempo deben llegar los alimentadores #3001RA a su paradero final? Tengo poco más de media hora esperando uno en #RodeoAlto y no ha pasado ninguno 🥲,Tue Feb 18 13:34:35 +0000 2025,1,1891843757567283619,1,"@metrodemedellin Muchas gracias, pocos minutos después de escribirles, llegó.; @manuelmrtnz Hola, Manuel. En estos momentos está llegando una unidad a la cabecera. Debido a la hora pico, algunas rutas han presentado afectaciones en las frecuencias. Agradecemos tu comprensión.",[]
33,Andrés Felipe Quintero,"Hola, me informan por fa que ruta integrada pasa por CC EL TESORO desde el POBLADO? 
@metrodemedellin",Sun Feb 16 19:30:13 +0000 2025,0,1891208479999741973,1,"@andresfelipeq_ Hola, Andrés. La ruta integrada 134i que omas en la estación Poblado pasa por el centro comercial.",[]
34,ñao,"¡Hola Tío @metrodemedellin! 

¿Me puedes recomendar por favor alguna ruta para llegar desde la estación Madera hasta Ensenada Apartamentos en el sector Amazonía?",Wed Feb 05 01:52:10 +0000 2025,0,1886955948360573373,1,"@fartnao Hola, Ñao. En la estación Madera puedes tomar la ruta integrada 1040 Cabañas - Barrio Obrero, cuyo recorrido es el siguiente: Urbanización La Florida, barrio La Cabaña, barrio La Cabañita, Colegio Casa Azul, Politécnico Jaime Isaza Cadavid y Urbanizacion Amazonía. Saludos.",[]
35,Yanneth Mejia,Mi lindo @metrodemedellin me cuentas por fis cómo llego contigo a la calle 35 80-56 en Laureles. Eres un lindo 💚💚,Wed Jan 15 21:54:39 +0000 2025,1,1879648418986930466,2,"@YannethM @Metro El costo total de este viaje es de $6.830 pagando con Cívica personalizada el trayecto entre Tranvía y Metro. Te recomendamos pagar el integrado ($3.400) en efectivo.; @metrodemedellin @Metro Ruta integrada 193ii💚💚; @YannethM @Metro Hola, Yanneth. Un abracito para ti. 
¿Nos podrías indicar cuál bus tomarías? Este dato nos sirve para calcular el valor. Quedamos atentos.; @metrodemedellin Mi lindo @metrodemedellin y cuánto cuesta la integración tomando el tranvía hasta San Antonio, luego el metro hasta Estadio y luego el bus que me indicas; @metrodemedellin Mi lindo @metro y cuánto cuesta la integración tomando, tranvía hasta San Antonio luego el metro hasta estadio y luego el bus que me indicas; @YannethM @metrodemedellin También se puede hasta Floresta y coges línea O dirección La Palma, te bajas en el paradero frente a Viva Laureles y caminas un poquito. O Coonatra ahí también y te deja casi en la glorieta de la 35.; @YannethM Hola, hermosa Yanneth.
¡Muy buenas tardes! ¿Cómo estás? 
Toma la ruta integrada 193ii en la estación Estadio.
Un abrazo 😘😘😘.",[]
36,Alejandro Lema Correa,"Como usuario ocasional del circular sur, no veo la hora que esta ruta la cubra el Metro de la 80. 

Más rápido, solo parando en estaciones, conectado con el sistema Metro. 

Hay planes para que la línea O cubra la ruta completa de Caribe a Aguacatala? @metrodemedellin",Tue Jan 21 12:36:44 +0000 2025,1,1881682341825020243,0,,[]
37,María,Hola @metrodemedellin la linea o de buses me sirve para llegar a arkadia?,Fri Jan 31 20:45:20 +0000 2025,4,1885429177299431749,2,"@Noriegaaaaa Hola, María. Disculpa que hayamos tardado tanto en responder. Te recomendamos viajar en la línea A hasta la estación Aguacatala. Allí toma la ruta alimentadora C3_001 o la C3_002; ambas pasan por tu destino.

¡Saludos! 💚💛; @galileosantaz @metrodemedellin Bb muchas gracias ❣️; @Noriegaaaaa @metrodemedellin no bby, tendrías que bajarte en la palma y ahí coger un integrado que va para la aguacatala y ese si te deja en arkadia",[]
38,Duvin Cuartas Aguirre,Tío @metrodemedellin  buenas noches. Cómo puedo llegar a Expofitness desde Aranjuez?,Sun Feb 16 02:16:59 +0000 2025,1,1890948461257765221,1,"@metrodemedellin Si, es ese. Muchas gracias; @Duvin27 Hola Duvin, buenas noches. Si te refieres al evento en Plaza Mayor, toma la línea 1 de buses hasta la parada Plaza Mayor.",[]
39,Laus,"Hola! @metrodemedellin 
¿Cómo puedo llegar al acuaparque ditaires? Gracias 🫶🏼",Mon Feb 17 14:59:40 +0000 2025,0,1891502781388796287,1,"@lauteba Hola Laus, buenos días. Desde la estación Ayurá sale la ruta integrada C-ITA que pasa por el sector Ditaires o desde la estación Sabaneta puedes tomar la ruta integrada Villa Lia - Santana - San Pio. 💚",[]
40,Titi,"Hola @metrodemedellin feliz navidad!!! 🎄✨
Tu me puedes indicar por favor para ir al Cc Arkadia ¿que ruta puedo tomar?
Gracias loviu",Thu Dec 26 14:25:07 +0000 2024,0,1872287532291141908,1,"@tinita_c Hola Titi, buenos días. En la #EstaciónAguacatala puedes tomar la ruta alimentadora C3-001 o C3-002, ambas pasan por el centro comercial.",[]
41,Lina Mar,Soy tan optimista diciendo que si uso el @metrodemedellin llego en 15 min a todos lados. Já ojalá llegara en ese tiempo.,Fri Feb 21 12:54:38 +0000 2025,1,1892920868172394553,0,,[]
42,THE METAL MONSTER,Querido @metrodemedellin ¿sabes algo?  Yo te vi nacer y ¿Sabes algo mas? Algo que me encanta de ti es que eres único en #Colombia aprovechando el momento me puedes decir cómo llego al Centro Comercial El Tesoro desde alguna estación. Feliz noche.,Wed Feb 12 04:30:22 +0000 2025,0,1889532474515947788,1,"@metrodemedellin Eres genial nunca cambies. ❤️; @BarbaNegraCP Querido Barba Negra, tantos años viajado juntos. 🤗

Viaja en la línea A hasta la estación Poblado, allí toma la ruta integrada 134i.",[]
43,L.🌊💙🩵,Hola @metrodemedellin como llego a la unidad Deportiva de Belén desde la estación bello?,Fri Jan 17 19:48:33 +0000 2025,0,1880341459507044710,1,"@lauravma1 Hola Lau, buenas tardes. Viaja en la línea A hasta la estación Industriales. Haces transbordo a Industriales buses y tomas la línea 1 o 2 (dirección UdeM) y te bajas en la parada Fátima.",[]
44,Yanneth Mejia,Mi querido @metrodemedellin cómo puedo llegar contigo al Centro Comercial Oviedo 💚💚,Fri Dec 13 18:19:28 +0000 2024,0,1867635464502419705,1,"@YannethM Hola Yanneth, puedes tomar la ruta integrada 130i en la #EstaciónAguacatala que pasa por el centro comercial.",[]
45,Wil,Buenos días @metrodemedellin para llegar a la clínica del dolor del poblado que ruta me sirve si voy desde la estación San Javier. Gracias.,Tue Dec 10 08:14:26 +0000 2024,0,1866396041362518418,1,"@Wil08922081 Hola, Wil.
¡Muy buenos días! Debes tomar en la #EstaciónAgucatala la ruta integrada 132i que pasa cerca a la clínica.
Un abrazo y buen viaje.",[]
46,Danilo,"El @metrodemedellin debería extender su horario el lunes durante el concierto de @shakira y podremos llegar a casita sanos, salvos y felices de verla. 🥹🥹",Thu Feb 20 01:12:20 +0000 2025,4,1892381739558862949,0,,[]
47,Giovanny,"Feliz año Tío @metrodemedellin 
Hay alguna manera de llegar a este dirección Calle 38 #76-12 en laureles",Fri Jan 03 17:05:31 +0000 2025,0,1875226999171772621,1,"@GioSuarez91 🫶; @metrodemedellin Gracias los T.Q.M 💚; @GioSuarez91 Hola Gio, buenos días. Sí, viaja hasta la estación Estadio (línea B). Allí puedes tomar la ruta integrada 193ii, que pasa por el primer y segundo parque de Laureles, muy cerca a tu destino.",[]
